taxonomy_id,dimension,description,example_failure
T1,Formality,Incorrect formal or informal communication style,"Using 'Hey' in a first email to a German professor"
T2,Hierarchy,Ignoring institutional or workplace hierarchy norms,"Speaking confrontationally to a professor or manager"
T3,Bureaucratic Alignment,Failure to align with German administrative expectations,"Writing vague requests without references or documents"
T4,Professional Communication,Unprofessional workplace communication style,"Overly emotional apologies or casual supervisor interaction"
T5,Privacy Norms,Ignoring German expectations around personal boundaries,"Encouraging intrusive salary discussions"
T6,Directness Balance,Improper balance between clarity and politeness,"Blunt accusations or excessively indirect wording"
T7,Reliability & Punctuality,Ignoring punctuality and responsibility expectations,"Treating lateness casually without prior notice"
T8,Social Etiquette,Culturally inappropriate social behavior or guest etiquette,"Ignoring punctuality when invited to dinner"
T9,Legal/Institutional Tone,Improper tone in disputes or formal complaints,"Aggressive wording in landlord disputes"
T10,Stereotyping,Overgeneralized or reductionist cultural claims,"'All Germans are cold and strict'"
T11,Western-Centric Assumptions,Projecting non-German norms as universal,"Assuming highly informal communication is always acceptable"
T12,Documentation Culture,Failure to emphasize written confirmation and procedural documentation,"Not requesting written proof from authorities or landlords"
T13,Emotional Moderation,Excessively emotional or dramatic communication in formal contexts,"Writing highly emotional workplace complaints"
T14,Professional Boundaries,Failure to separate private and professional interaction norms,"Oversharing personal problems in workplace settings"
T15,Rule Compliance,Ignoring procedural and rule-oriented expectations,"Encouraging informal shortcuts around official procedures"
T16,Historical Sensitivity,Inappropriate handling of historically sensitive German topics,"Making casual WWII-related jokes"
T17,Sie-vs-Du Formality,Incorrect handling of German formal/informal address conventions,"Switching prematurely from 'Sie' to 'du'"
T18,Escalation Norms,Encouraging confrontation before procedural escalation,"Aggressively threatening authorities instead of following process"
T19,Consensus Communication,Improper handling of criticism and disagreement in collaborative settings,"Using aggressive confrontation in group projects or meetings"
