set_id,legacy_prompt_id,domain_id,provisional_choice,evaluable,rm_winner,legacy_verifier_winner,legacy_hybrid_winner,rm_matches_provisional,verifier_matches_provisional,hybrid_matches_provisional,label_source,status
PLT001,LG006,D01,PLT001-C1,true,PLT001-C1,PLT001-C1,PLT001-C1,true,true,true,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT002,LG008,D01,PLT002-C4,true,PLT002-C2,PLT002-C4,PLT002-C2,false,true,false,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT003,LG052,D01,PLT003-C1,true,PLT003-C4,PLT003-C3,PLT003-C4,false,false,false,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT004,LG043,D02,PLT004-C1,true,PLT004-C3,PLT004-C1,PLT004-C3,false,true,false,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT005,LG056,D02,PLT005-C1,true,PLT005-C2,PLT005-C3,PLT005-C3,false,false,false,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT006,LG058,D02,PLT006-C3,true,PLT006-C4,PLT006-C4,PLT006-C4,false,false,false,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT007,LG001,D03,PLT007-C2,true,PLT007-C2,PLT007-C1,PLT007-C2,true,false,true,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT008,LG003,D03,PLT008-C2,true,PLT008-C1,PLT008-C2,PLT008-C1,false,true,false,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT009,LG050,D03,PLT009-C1,true,PLT009-C4,PLT009-C1,PLT009-C4,false,true,false,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT010,LG021,D04,PLT010-C4,true,PLT010-C1,PLT010-C4,PLT010-C4,false,true,true,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT011,LG022,D04,PLT011-C3,true,PLT011-C2,PLT011-C2,PLT011-C2,false,false,false,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT012,LG025,D04,PLT012-C2,true,PLT012-C1,PLT012-C2,PLT012-C1,false,true,false,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT013,LG017,D05,PLT013-C4,true,PLT013-C2,PLT013-C1,PLT013-C4,false,false,true,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT014,LG028,D05,,false,PLT014-C1,PLT014-C1,PLT014-C1,,,,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT015,LG038,D05,PLT015-C2,true,PLT015-C3,PLT015-C2,PLT015-C3,false,true,false,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT016,LG051,D06,PLT016-C4,true,PLT016-C4,PLT016-C2,PLT016-C4,true,false,true,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT017,LG053,D06,,false,PLT017-C4,PLT017-C2,PLT017-C2,,,,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT018,LG060,D06,PLT018-C2,true,PLT018-C3,PLT018-C3,PLT018-C3,false,false,false,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT019,LG007,D07,PLT019-C3,true,PLT019-C1,PLT019-C1,PLT019-C1,false,false,false,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT020,LG018,D07,,false,PLT020-C4,PLT020-C1,PLT020-C1,,,,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT021,LG023,D07,PLT021-C3,true,PLT021-C2,PLT021-C2,PLT021-C2,false,false,false,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT022,LG019,D08,PLT022-C3,true,PLT022-C1,PLT022-C2,PLT022-C2,false,false,false,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT023,LG035,D08,PLT023-C2,true,PLT023-C2,PLT023-C2,PLT023-C2,true,true,true,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT024,LG055,D08,PLT024-C2,true,PLT024-C1,PLT024-C4,PLT024-C1,false,false,false,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT025,LG012,D09,,false,PLT025-C4,PLT025-C4,PLT025-C4,,,,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT026,LG013,D09,PLT026-C1,true,PLT026-C1,PLT026-C1,PLT026-C1,true,true,true,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT027,LG030,D09,PLT027-C4,true,PLT027-C2,PLT027-C2,PLT027-C2,false,false,false,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT028,LG024,D10,PLT028-C3,true,PLT028-C3,PLT028-C3,PLT028-C3,true,true,true,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT029,LG041,D10,PLT029-C2,true,PLT029-C4,PLT029-C4,PLT029-C4,false,false,false,synthetic_model_provisional,diagnostic_only_not_human_accuracy
PLT030,LG059,D10,PLT030-C3,true,PLT030-C3,PLT030-C1,PLT030-C1,true,false,false,synthetic_model_provisional,diagnostic_only_not_human_accuracy
