prompt_id,A_votes,B_votes,C_votes,D_votes,top_set,majority_winner,max_votes,consensus_level
PLT001,2,0,1,2,A|D,,2,ambiguous
PLT002,1,2,0,2,B|D,,2,ambiguous
PLT003,4,0,1,0,A,A,4,strong_consensus
PLT004,3,2,0,0,A,A,3,majority
PLT005,2,1,1,1,A,,2,ambiguous
PLT006,0,1,1,3,D,D,3,majority
PLT007,1,4,0,0,B,B,4,strong_consensus
PLT008,1,3,1,0,B,B,3,majority
PLT009,3,1,0,1,A,A,3,majority
PLT010,0,0,4,1,C,C,4,strong_consensus
PLT011,2,3,0,0,B,B,3,majority
PLT012,0,4,1,0,B,B,4,strong_consensus
PLT013,1,3,0,1,B,B,3,majority
PLT014,2,2,0,1,A|B,,2,ambiguous
PLT015,3,1,1,0,A,A,3,majority
PLT016,3,0,1,1,A,A,3,majority
PLT017,2,1,2,0,A|C,,2,ambiguous
PLT018,4,0,0,1,A,A,4,strong_consensus
PLT019,2,0,1,2,A|D,,2,ambiguous
PLT020,1,1,0,3,D,D,3,majority
PLT021,1,1,1,2,D,,2,ambiguous
PLT022,1,2,2,0,B|C,,2,ambiguous
PLT023,1,4,0,0,B,B,4,strong_consensus
PLT024,2,2,0,1,A|B,,2,ambiguous
PLT025,0,1,2,2,C|D,,2,ambiguous
PLT026,3,1,0,1,A,A,3,majority
PLT027,0,0,0,5,D,D,5,strong_consensus
PLT028,2,1,1,1,A,,2,ambiguous
PLT029,2,2,0,1,A|B,,2,ambiguous
PLT030,2,1,2,0,A|C,,2,ambiguous
