legacy_taxonomy_id,legacy_dimension,legacy_description,legacy_example_failure,canonical_issue_id,migration_status,migration_rationale,source_file,source_file_sha256
T1,Formality,Incorrect formal or informal communication style,Using 'Hey' in a first email to a German professor,I05,merged_into_broader_v2_issue,Formality is a register and address-form mismatch.,03-taxonomy_v1.csv,ee5ca6250ae3685f6fedab70699b6742f473960c4ff5c66f1d38a8f5ecabc029
T2,Hierarchy,Ignoring institutional or workplace hierarchy norms,Speaking confrontationally to a professor or manager,I06,merged_into_broader_v2_issue,Hierarchy advice is a context-dependent interpersonal norm.,03-taxonomy_v1.csv,ee5ca6250ae3685f6fedab70699b6742f473960c4ff5c66f1d38a8f5ecabc029
T3,Bureaucratic Alignment,Failure to align with German administrative expectations,Writing vague requests without references or documents,I07,merged_into_broader_v2_issue,Administrative alignment belongs to institutional procedure.,03-taxonomy_v1.csv,ee5ca6250ae3685f6fedab70699b6742f473960c4ff5c66f1d38a8f5ecabc029
T4,Professional Communication,Unprofessional workplace communication style,Overly emotional apologies or casual supervisor interaction,I06,merged_into_broader_v2_issue,Professional communication is a role-specific social norm.,03-taxonomy_v1.csv,ee5ca6250ae3685f6fedab70699b6742f473960c4ff5c66f1d38a8f5ecabc029
T5,Privacy Norms,Ignoring German expectations around personal boundaries,Encouraging intrusive salary discussions,I06,merged_into_broader_v2_issue,Privacy expectations are context-dependent personal boundaries.,03-taxonomy_v1.csv,ee5ca6250ae3685f6fedab70699b6742f473960c4ff5c66f1d38a8f5ecabc029
T6,Directness Balance,Improper balance between clarity and politeness,Blunt accusations or excessively indirect wording,I05,merged_into_broader_v2_issue,Directness and politeness are pragmatic language choices.,03-taxonomy_v1.csv,ee5ca6250ae3685f6fedab70699b6742f473960c4ff5c66f1d38a8f5ecabc029
T7,Reliability & Punctuality,Ignoring punctuality and responsibility expectations,Treating lateness casually without prior notice,I06,merged_into_broader_v2_issue,Punctuality and reliability are context-dependent social norms.,03-taxonomy_v1.csv,ee5ca6250ae3685f6fedab70699b6742f473960c4ff5c66f1d38a8f5ecabc029
T8,Social Etiquette,Culturally inappropriate social behavior or guest etiquette,Ignoring punctuality when invited to dinner,I06,merged_into_broader_v2_issue,Etiquette is represented by the broader social-norm issue.,03-taxonomy_v1.csv,ee5ca6250ae3685f6fedab70699b6742f473960c4ff5c66f1d38a8f5ecabc029
T9,Legal/Institutional Tone,Improper tone in disputes or formal complaints,Aggressive wording in landlord disputes,I07,merged_into_broader_v2_issue,Institutional disputes require correct legal or procedural handling.,03-taxonomy_v1.csv,ee5ca6250ae3685f6fedab70699b6742f473960c4ff5c66f1d38a8f5ecabc029
T10,Stereotyping,Overgeneralized or reductionist cultural claims,'All Germans are cold and strict',I03,merged_into_broader_v2_issue,Stereotyping maps directly to stereotyping and essentialism.,03-taxonomy_v1.csv,ee5ca6250ae3685f6fedab70699b6742f473960c4ff5c66f1d38a8f5ecabc029
T11,Western-Centric Assumptions,Projecting non-German norms as universal,Assuming highly informal communication is always acceptable,I02,merged_into_broader_v2_issue,Western-default transfer maps directly to generic-Western projection.,03-taxonomy_v1.csv,ee5ca6250ae3685f6fedab70699b6742f473960c4ff5c66f1d38a8f5ecabc029
T12,Documentation Culture,Failure to emphasize written confirmation and procedural documentation,Not requesting written proof from authorities or landlords,I07,merged_into_broader_v2_issue,Documentation requirements belong to institutional procedure.,03-taxonomy_v1.csv,ee5ca6250ae3685f6fedab70699b6742f473960c4ff5c66f1d38a8f5ecabc029
T13,Emotional Moderation,Excessively emotional or dramatic communication in formal contexts,Writing highly emotional workplace complaints,I06,merged_into_broader_v2_issue,Emotional moderation is a context-dependent communication norm.,03-taxonomy_v1.csv,ee5ca6250ae3685f6fedab70699b6742f473960c4ff5c66f1d38a8f5ecabc029
T14,Professional Boundaries,Failure to separate private and professional interaction norms,Oversharing personal problems in workplace settings,I06,merged_into_broader_v2_issue,Professional boundaries are role-specific interpersonal norms.,03-taxonomy_v1.csv,ee5ca6250ae3685f6fedab70699b6742f473960c4ff5c66f1d38a8f5ecabc029
T15,Rule Compliance,Ignoring procedural and rule-oriented expectations,Encouraging informal shortcuts around official procedures,I07,merged_into_broader_v2_issue,Rule compliance belongs to legal or institutional procedure.,03-taxonomy_v1.csv,ee5ca6250ae3685f6fedab70699b6742f473960c4ff5c66f1d38a8f5ecabc029
T16,Historical Sensitivity,Inappropriate handling of historically sensitive German topics,Making casual WWII-related jokes,I08,merged_into_broader_v2_issue,Historical sensitivity maps directly to symbolic insensitivity.,03-taxonomy_v1.csv,ee5ca6250ae3685f6fedab70699b6742f473960c4ff5c66f1d38a8f5ecabc029
T17,Sie-vs-Du Formality,Incorrect handling of German formal/informal address conventions,Switching prematurely from 'Sie' to 'du',I05,merged_into_broader_v2_issue,Sie/du selection is a register and address-form mismatch.,03-taxonomy_v1.csv,ee5ca6250ae3685f6fedab70699b6742f473960c4ff5c66f1d38a8f5ecabc029
T18,Escalation Norms,Encouraging confrontation before procedural escalation,Aggressively threatening authorities instead of following process,I07,merged_into_broader_v2_issue,Escalation paths belong to legal or institutional procedure.,03-taxonomy_v1.csv,ee5ca6250ae3685f6fedab70699b6742f473960c4ff5c66f1d38a8f5ecabc029
T19,Consensus Communication,Improper handling of criticism and disagreement in collaborative settings,Using aggressive confrontation in group projects or meetings,I06,merged_into_broader_v2_issue,Consensus and disagreement are context-dependent social norms.,03-taxonomy_v1.csv,ee5ca6250ae3685f6fedab70699b6742f473960c4ff5c66f1d38a8f5ecabc029
