domain_id,domain_name,definition,short_justification,source_frameworks,minimum_source_families,carb_parent_mapping
D01,Everyday life and material culture,"Everyday practices involving food, hospitality, clothing, leisure, celebrations, routines, consumption and shared physical spaces.",Cultural correctness is frequently expressed through ordinary practices that are not reducible to abstract values or language.,BLEnD; CulturalBench; Destatis time-use and household data,One cultural NLP benchmark; one German official or insider-practice source,Cultural commonsense
D02,Language discourse and pragmatics,"Culturally situated meaning expressed through register, forms of address, idioms, implicature, humour, dialect and conversational style.",A response may be grammatically correct but culturally wrong because its register or implied meaning is inappropriate.,Cultural linguistics; CultureLLM; BLEnD; German IDS/DWDS corpora,One linguistic or corpus source; one cultural NLP source,Cultural linguistics
D03,Social etiquette and interpersonal norms,"Context-dependent expectations governing greetings, invitations, punctuality, boundaries, disagreement and public interpersonal conduct.",Social acceptability in a concrete German situation cannot be fully represented by linguistic correctness or abstract value surveys.,NormAd; BLEnD; social-norm research,One social-norm framework or benchmark; one German insider or empirical source,Cultural commonsense
D04,Values ethics and moral pluralism,"Population attitudes and moral priorities concerning autonomy, authority, solidarity, justice, security, environment and contested social questions.",Values are plural and distributional; they require survey-grounded representation rather than a single alleged national opinion.,WVS; EVS; Inglehart-Welzel; GlobalOpinionQA; CultureLLM,One representative survey source; one pluralistic-alignment or cultural-evaluation paper,Cultural values
D05,Law policy and institutional rules,"Binding rights, obligations, administrative procedures, public policy and formal institutional constraints in Germany.",What German law requires is distinct from what people prefer or informally expect.,SafeWorld; Diverse Human Value Alignment; German federal and state authorities,One current official legal or institutional source; one alignment or geo-diverse safety source,Cultural values / safety
D06,Religion ritual and taboo,"Religious practice, sacred meaning, ritual observance, religious diversity and context-dependent prohibitions.",Ritual competence and sacred meaning cannot be reconstructed from generic values or everyday-practice categories alone.,EVS/WVS religion modules; Inglehart-Welzel; religious-studies and community sources,One survey or scholarly source; one relevant community or authoritative practice source,Cultural commonsense / values
D07,Family kinship gender and generations,"Household structures, partnership, caregiving, gender relations, childhood, ageing and intergenerational expectations.",Family and generational structures have distinct demographic evidence and role-specific norms that disappear inside a generic values domain.,EVS; WVS; BLEnD; Destatis family statistics,One representative survey or official statistical source; one cultural benchmark or social-science source,Cultural values
D08,Work education and civic participation,"Workplace culture, educational life, professional roles, associations, elections, volunteering and participation in public institutions.","Role-specific practices in employment, education and civic life are neither merely general etiquette nor only binding law.",EVS work and politics; WVS political participation; BLEnD; German labour education and election institutions,One work education or civic survey source; one German institutional source,Cultural commonsense / values
D09,Cultural heritage history arts and collective memory,"Historical interpretation, commemoration, heritage, arts, public symbols, media references and collective memory.","Without this domain the benchmark cannot measure historical sensitivity, commemoration or culturally meaningful symbolic references.",CulturalBench; UNESCO heritage frameworks; German bpb archives museums and cultural institutions,One heritage or cultural-knowledge framework; one German archive museum or public-history source,Cultural commonsense
D10,Identity diversity and intergroup relations,"National, regional, ethnic, migration, disability, sexual and other identities, belonging and intergroup treatment in Germany.",Identity and minority experience require explicit coverage and cannot be reduced to a generic safety label; stereotyping is assessed as a failure across this and other domains.,EVS national identity; WVS migration; GlobalOpinionQA; pluralistic alignment; FADA and DeZIM,One population or identity survey source; one affected-community anti-discrimination or pluralistic-alignment source,Cultural safety / values
