prompt_id,candidate_id,human_mean,human_median,n_score_1,n_score_2,n_score_3,human_score_normalized,winner_votes
PLT001,A,2.200,2.0,1,2,2,0.600,2
PLT001,B,1.600,1.0,3,1,1,0.300,0
PLT001,C,2.000,2.0,2,1,2,0.500,1
PLT001,D,2.200,2.0,1,2,2,0.600,2
PLT002,A,1.400,1.0,3,2,0,0.200,1
PLT002,B,1.800,2.0,2,2,1,0.400,2
PLT002,C,1.800,2.0,2,2,1,0.400,0
PLT002,D,2.200,2.0,0,4,1,0.600,2
PLT003,A,2.600,3.0,1,0,4,0.800,4
PLT003,B,1.800,2.0,1,4,0,0.400,0
PLT003,C,1.800,2.0,2,2,1,0.400,1
PLT003,D,2.000,2.0,2,1,2,0.500,0
PLT004,A,2.200,2.0,1,2,2,0.600,3
PLT004,B,2.200,3.0,2,0,3,0.600,2
PLT004,C,2.000,2.0,2,1,2,0.500,0
PLT004,D,2.000,2.0,1,3,1,0.500,0
PLT005,A,1.800,2.0,2,2,1,0.400,2
PLT005,B,2.000,2.0,1,3,1,0.500,1
PLT005,C,1.200,1.0,4,1,0,0.100,1
PLT005,D,1.200,1.0,4,1,0,0.100,1
PLT006,A,1.800,2.0,1,4,0,0.400,0
PLT006,B,1.800,2.0,2,2,1,0.400,1
PLT006,C,1.800,2.0,2,2,1,0.400,1
PLT006,D,2.600,3.0,1,0,4,0.800,3
PLT007,A,2.200,2.0,1,2,2,0.600,1
PLT007,B,2.400,3.0,1,1,3,0.700,4
PLT007,C,2.400,3.0,1,1,3,0.700,0
PLT007,D,2.200,2.0,1,2,2,0.600,0
PLT008,A,1.800,2.0,2,2,1,0.400,1
PLT008,B,2.600,3.0,0,2,3,0.800,3
PLT008,C,1.600,2.0,2,3,0,0.300,1
PLT008,D,2.200,2.0,1,2,2,0.600,0
PLT009,A,2.400,3.0,1,1,3,0.700,3
PLT009,B,2.400,3.0,1,1,3,0.700,1
PLT009,C,2.200,2.0,1,2,2,0.600,0
PLT009,D,2.000,2.0,1,3,1,0.500,1
PLT010,A,2.200,2.0,1,2,2,0.600,0
PLT010,B,2.000,2.0,1,3,1,0.500,0
PLT010,C,2.600,3.0,1,0,4,0.800,4
PLT010,D,1.800,2.0,2,2,1,0.400,1
PLT011,A,2.000,2.0,1,3,1,0.500,2
PLT011,B,1.800,2.0,2,2,1,0.400,3
PLT011,C,1.800,2.0,1,4,0,0.400,0
PLT011,D,1.800,2.0,2,2,1,0.400,0
PLT012,A,2.000,2.0,1,3,1,0.500,0
PLT012,B,2.600,3.0,0,2,3,0.800,4
PLT012,C,2.200,2.0,1,2,2,0.600,1
PLT012,D,1.600,2.0,2,3,0,0.300,0
PLT013,A,2.000,2.0,1,3,1,0.500,1
PLT013,B,2.200,2.0,1,2,2,0.600,3
PLT013,C,2.000,2.0,1,3,1,0.500,0
PLT013,D,2.000,2.0,2,1,2,0.500,1
PLT014,A,1.800,2.0,2,2,1,0.400,2
PLT014,B,2.600,3.0,0,2,3,0.800,2
PLT014,C,1.800,2.0,2,2,1,0.400,0
PLT014,D,1.800,2.0,2,2,1,0.400,1
PLT015,A,2.600,3.0,0,2,3,0.800,3
